id,amount,rate,pair,order_type,created_at
303064529,0.00156416,10757000.0,btc_jpy,sell,2026-03-28T15:29:55.000000Z
303064528,0.00409996,10757000.0,btc_jpy,sell,2026-03-28T15:29:54.000000Z
303064527,0.06399999,10757000.0,btc_jpy,sell,2026-03-28T15:29:54.000000Z
303064526,0.40393589,10757000.0,btc_jpy,sell,2026-03-28T15:29:54.000000Z
303064525,0.0127,10757000.0,btc_jpy,sell,2026-03-28T15:29:53.000000Z
303064524,0.0033,10756985.0,btc_jpy,buy,2026-03-28T15:29:53.000000Z
303064523,0.02,10756923.0,btc_jpy,buy,2026-03-28T15:29:53.000000Z
303064522,0.0204,10756870.0,btc_jpy,buy,2026-03-28T15:29:53.000000Z
303064521,0.005,10754921.0,btc_jpy,sell,2026-03-28T15:29:45.000000Z
303064520,0.01,10757349.0,btc_jpy,buy,2026-03-28T15:29:12.000000Z
